transaction_id,user_id,amount,city,lat,lon,merchant_type,timestamp,device_id,is_fraud
9617e2ee-09f6-435f-8be8-a85fab725f2a,user_3976,3614.19,Bengaluru,12.976006,77.557029,fashion,2026-04-01T06:45:10.099002+00:00,device_3294,0
886e8e27-22fb-4ad7-8373-343ecbbaf104,user_4307,3131.02,Delhi,28.587489,77.20304,pharmacy,2026-03-10T05:37:15.828273+00:00,device_5889,0
82f723da-ab81-4e67-a646-0b757309633f,user_9165,1517.91,Mumbai,19.092768,72.900295,pharmacy,2026-02-04T01:43:02.676522+00:00,device_3774,0
73179c29-f163-4328-b11a-2642408c3651,user_8626,3716.54,Delhi,28.629262,77.244287,fashion,2026-03-23T07:11:27.374847+00:00,device_2139,0
d090b4c1-057a-46fa-9e20-6eb10c9edc99,user_5784,1701.65,Bengaluru,12.950065,77.616866,restaurant,2026-02-23T22:03:34.828455+00:00,device_2780,0
c1b81633-bafc-4034-8529-722fac7b5745,user_117,4760.42,Bengaluru,12.958128,77.613653,fashion,2026-02-26T21:59:43.161478+00:00,device_5631,0
50b97eee-a64e-4fd7-b9ce-07578da4b9bb,user_1731,17708.41,Mumbai,19.103508,72.862623,travel,2026-04-06T20:59:59.451267+00:00,device_1747,0
0f1ea315-0936-47ff-87b7-b3ac19a0c6f9,user_4315,229239.93,Pune,18.449491,74.038727,gaming,2026-04-29T17:28:22.819986+00:00,device_700,1
81af7647-34f9-42de-a206-7fad975edd05,user_3287,1724.56,Mumbai,19.079943,72.886663,pharmacy,2026-02-05T21:17:32.585875+00:00,device_7335,0
32550c1d-d65e-49bd-99c5-b34bbbef5dc7,user_5368,3530.95,Pune,18.510772,73.843779,fuel,2026-03-01T10:23:28.516062+00:00,device_5578,0
a848139b-2fdb-46c0-9525-4af7576f3690,user_719,5114.72,Delhi,28.649168,77.190613,fashion,2026-03-23T18:56:32.806819+00:00,device_1024,0
ecb16a4a-1045-436a-98dc-cf3139bbaae2,user_7847,46981.59,Chennai,13.049798,80.276286,travel,2026-04-01T22:06:41.282573+00:00,device_4944,0
44ab121f-34d7-4d77-b50e-d390bdadb1eb,user_2005,3502.75,Bengaluru,12.950461,77.596902,pharmacy,2026-04-24T03:35:48.678312+00:00,device_6025,0
98718109-907d-4408-aaba-3bfef9ae26dc,user_897,6781.89,Delhi,28.603413,77.23067,fashion,2026-04-29T11:21:35.750728+00:00,device_2986,0
136f049a-52c5-4266-941a-bb8fada2304e,user_5177,502705.53,Hyderabad,17.337319,78.453568,gaming,2026-04-19T12:25:19.825403+00:00,device_233,1
cf875368-2dec-49b3-b8fb-1585cafec3ca,user_92,5285.01,Chennai,13.07336,80.277222,fuel,2026-02-23T11:12:56.907440+00:00,device_2282,0
af484f27-0414-436b-accc-0ae70afd8e1b,user_2914,3069.81,Chennai,13.078883,80.278034,pharmacy,2026-04-10T20:19:48.258969+00:00,device_3315,0
9fb06881-029d-42d6-9aa6-4e9face140f0,user_9151,51508.08,Bengaluru,12.974391,77.607599,travel,2026-03-23T05:28:26.716945+00:00,device_568,0
aeeae119-55df-4395-ad7d-a33623538b72,user_5923,3466.04,Hyderabad,17.422063,78.510338,pharmacy,2026-03-02T23:45:14.391784+00:00,device_4053,0
ba3a9f2b-6378-43ad-859a-a55b41e5bb27,user_8259,2344.86,Bengaluru,12.974575,77.586903,fuel,2026-04-19T09:24:27.745759+00:00,device_4444,0
62528745-66d5-48a6-9349-d97c63762e97,user_9814,3720.3,Pune,18.51579,73.844657,fashion,2026-03-16T02:02:50.950984+00:00,device_3698,0
5228ca1d-58b9-42b8-b924-918dd187846c,user_1162,6714.28,Delhi,28.650883,77.175429,fashion,2026-03-02T07:37:48.263113+00:00,device_71,0
e6e230a8-3cbd-482a-a84d-ca996f3a269a,user_5004,2276.4,Hyderabad,17.347634,78.467715,restaurant,2026-03-09T06:04:41.484875+00:00,device_773,0
03a3bde6-3b4d-474b-b745-5874e7ac4f5d,user_7128,582.85,Pune,18.556249,73.896194,grocery,2026-03-07T09:46:56.348988+00:00,device_4139,0
e1f98292-1e02-44b7-8a62-03b20745a6a3,user_4159,1157050.68,Mumbai,19.102651,72.814163,jewelry,2026-04-05T12:18:43.774624+00:00,device_7,1
4e12468d-61a3-48d1-af47-592e75e21145,user_9065,2370.91,Hyderabad,17.407843,78.451423,pharmacy,2026-03-21T05:23:33.865216+00:00,device_1595,0
d95c3d37-6ae0-46e3-900f-a567a5c94285,user_6305,3889.74,Chennai,13.114204,80.276297,grocery,2026-03-12T09:37:16.426547+00:00,device_727,0
26df264f-e0fd-4f2b-9c6e-8b9e23e43584,user_3413,2237.0,Bengaluru,12.937377,77.585077,fuel,2026-01-30T06:20:01.679507+00:00,device_6402,0
0188f2ee-4830-44a5-8501-940b494929de,user_4773,3535.81,Chennai,13.056746,80.294868,grocery,2026-03-04T21:11:23.969473+00:00,device_545,0
fa5e7783-92ab-4b62-afad-aedfeee7afe0,user_7952,5992.78,Mumbai,19.039176,72.85386,fuel,2026-04-04T00:37:07.400518+00:00,device_4585,0
7b942076-919c-4c41-9bf8-95262237150c,user_2496,500.75,Hyderabad,17.355569,78.465015,restaurant,2026-04-11T07:51:11.980646+00:00,device_2149,0
1cdb2fc0-30d4-4225-b286-56cbe8a25a59,user_512,4313.4,Delhi,28.593107,77.23165,fashion,2026-04-15T21:08:31.239181+00:00,device_148,0
566d27f6-01bc-4e32-82a4-07d17c87f16e,user_8033,2703.26,Bengaluru,13.001177,77.620878,pharmacy,2026-02-08T00:06:13.320096+00:00,device_3238,0
79e5bacf-4602-495d-9b52-910c25fa02df,user_4687,1692.38,Delhi,28.579191,77.172984,pharmacy,2026-01-30T10:56:55.466005+00:00,device_3047,0
5c41abe2-260f-4eaf-acf0-1b86a4a30698,user_5392,1373.22,Pune,18.513856,73.88109,restaurant,2026-02-14T11:38:35.571895+00:00,device_1941,0
2cb36a25-3855-4339-9ded-a818b80f803c,user_8622,35402.58,Delhi,28.583094,77.179364,travel,2026-04-24T01:38:21.686860+00:00,device_2615,0
c91652f9-1464-4dda-97fd-4476e2f04af0,user_5614,37691.78,Mumbai,19.073733,72.874869,travel,2026-04-04T02:56:17.518224+00:00,device_6429,0
2d2b161f-a8df-4314-a2c1-2dcab6abbfed,user_860,46612.15,Mumbai,19.113594,72.838745,travel,2026-04-01T00:47:22.388706+00:00,device_6615,0
